排名,昵称,游戏时间,用户ID,OpenID,头像地址,提交时间
33,(@*_*@),9.95,604,odVYy1TUC0tHNVBLBHm5oSGeXmm8,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIF0PZeyH6RwTnPuicKxo0AfMUePJ5NsQasnWtgEhILGicnfUias42RBttVffjTqJEdyCxbibfWpc7b6Q/132,2020-04-03 07:35:41 +0800 CST
34,冯生,10.94,1801,odVYy1VgORwAAcfwASJH0MwW8Upc,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKJVDnJZialVpKkmEmxiauh1icdEvQgkPXvGnYtJthMTkj0YK87USG6ialku8vKpsDH2P3dTXu1PyJdwQ/132,2020-04-03 00:49:42 +0800 CST
35,朱,11.23,2459,odVYy1WkgOoa6gA7H0t2Dp5WgOds,http://thirdwx.qlogo.cn/mmopen/vi_32/p7pAqZZDFsurxAmYNE3alvu1ib91v8nZw1FSu6nZWZkbUWVbOmicke2bEO6sDqIV2sQoTNWWZHRPLhuDt78B65Sg/132,2020-04-03 12:31:04 +0800 CST
36,小河水手,13.21,393,odVYy1Z_kSdf_sRsksjMCNC4GFjw,http://thirdwx.qlogo.cn/mmopen/vi_32/qGicVmLId22OxBmQPfWgbhia4cibvIajEd9dNdJz30t6KjFZ0fpj0gXwnIMdpZgicibhfTOFu3rgUX9fZTfeYquJh8w/132,2020-04-03 11:07:55 +0800 CST
37,透明玻璃杯,13.66,323,odVYy1Q43ePRPsCbi3mGL_T4k7Hg,http://thirdwx.qlogo.cn/mmopen/vi_32/IyrKOr1vBfr0OI8ziaD2SxCMOmzwn1PmicSKVrYVqsPbX1H1z8vAIUynibOicicv6qOYtepUMjzvxS0P10ia8UUgGRhA/132,2020-04-03 18:52:49 +0800 CST
38,砃靑,14.09,48,odVYy1RlowIPw_ONJXM0HTUWh1RY,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTK99GvarH6IGSnbzLus5JJb44ZDQiciccXg9XMuvQhZlsXpc4OGZZjMDgibyDz5ApHE9WLxvDyibtltDw/132,2020-04-03 08:46:30 +0800 CST
39,LG、,14.53,555,odVYy1QCgekzPIv-LZX47vIsqkEM,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLD7ibaCiaa8QYObElP6R4OcMpfiap0qWNKzKhZNdE9NN5kGq3u8tsibiapTvTyeu8AqEn5EWLakSxpZ6A/132,2020-04-03 22:42:26 +0800 CST
40,小芒果,15.08,414,odVYy1b0Sq9OxbFwpRfqODdoS18E,http://thirdwx.qlogo.cn/mmopen/vi_32/cibFe5eNWHlDQVFf4Gt9dZBBsUibgnomlYPr2x2LVbpGA2AgJcPlN7pY4FRX5FADG67XfKx9AQib7hrIerkLKngQA/132,2020-04-03 12:40:52 +0800 CST
41,😇 叫我小可爱,15.64,205,odVYy1Wv4HE4lxLejus3B-YeoM20,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKO7e2u1YI9YxricbA6WvW0ez8uksWgNaVibOLW482btHGd5vviaJtbBrPFJnzcLPicMxOtQ69cm6k2Fg/132,2020-04-03 03:50:19 +0800 CST
42,江江,15.87,214,odVYy1fsJO3pZhMUm8kj86j7LebA,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83ereKjgSTqAjfG6xywcpGJ2RicowuKg4u5AFBvICUFnRegeib1ekMUZJvXsk3m1FWV6X1KD5Yvz4wGGA/132,2020-04-03 17:14:29 +0800 CST
43,向前进^O^,15.95,627,odVYy1YSJcJwZENruL5PbXehTwWU,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKpj6zejeC9EgIoJciaHcawQjz1I1Ouic8K7XbxCFMwkA73oWfEOuRSaM4QgkUqW6BHiaMKzcR2WicDNg/132,2020-04-03 19:13:22 +0800 CST
44,小邋遢,16.16,190,odVYy1R3ROAcBF3VLZRh-fy7cauQ,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLahGX97u0kHFPCzeZGdzfIYa5P9ic9eV9hYfCGh0n4LS2VicuGgSxwQg6rwqUqa6THx1iaibrqFJmWBg/132,2020-04-03 06:31:42 +0800 CST
45,Nono,16.35,1096,odVYy1e6l4bvSXGIS1Sb5Ws-62u4,http://thirdwx.qlogo.cn/mmopen/vi_32/tmX0Alr3WxhJbfbEg8iaNowvONLCrQhOHNDP7E5ibia5A1ebdvMMuxwuAlQbNRPyFmY0GFgFtYdXbdUicmv3nkccRA/132,2020-04-03 10:14:09 +0800 CST
46,圈圈,16.39,1422,odVYy1eR5bAUmVsRkJ13tPOOx1pE,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83ep3vEqz0XYJ5h6tsMJ1ZvvVb025X1Pj315KlnTILylLpUfSALenRuia3V5IdHbJicE8MARswdWXxvNg/132,2020-04-03 10:53:02 +0800 CST
47,嘿嘿嘿,16.65,407,odVYy1R_Sk47nHCjlQHTk0qBCOtA,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLHSPicBFCFQyqzicTbMiaxshgYcOaFYrfOqtbURWgia6Vb8WsvIu1ehO0PYgvwTDiciaa9ONTmGxfkticyw/132,2020-04-03 12:14:29 +0800 CST
50,hdy,17.89,391,odVYy1d9hAzPIQ1EYJp3RsW6rKs4,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJPXDw7FHXZf8jlDoJwrOkuCfQfBibvnFmQHkj1fibaHcuHvj9SyAQtPpD33IMqyicicoETZdupIP6nibQ/132,2020-04-03 10:12:30 +0800 CST
52,柏星星,18.63,2279,odVYy1UZQ3AtVTU-xAp5Lr3IxbM8,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLTAWRYFHiczm3NW8dHh7w3SicaMQtkIrWHv4UzEKzTs8KCjJFialibycxKG6Gfic1xC64MCnNicxuIuaBg/132,2020-04-03 12:58:12 +0800 CST
55,峰雨,19.63,1811,odVYy1YFc3bkqs2EfmDRzLRFuoLo,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLRk6fIZoYkhFeJzHuibRHmNHK9eOwZkbw5uB3vTqalm8ibtgPNUF79toicBPQImbJxe7diaC5VwuGUYg/132,2020-04-03 11:27:20 +0800 CST
56,小禾葡萄园,19.83,403,odVYy1YdcGmQ8Kglu2_SM35L5_FM,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJoHXiawddQeccibmZJOaYoeo9eqFJkkFf7JF77eD9QHiaSC19YUy5tH5V6ekD5x1amo15SeTn5ibe6tg/132,2020-04-03 16:53:06 +0800 CST
57,钻石眼泪,20.19,1135,odVYy1ToFEefEf_kNYYRhhwHCvs4,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83eqmibVSzCiaBESgMrExSfjnI5TWFlFRh89UdV4wIaUpKIwpPcp3MjldZYKxj3Vn7eg463QTp7NicpktQ/132,2020-04-03 08:34:47 +0800 CST
58,我就是我，不一样的烟火,20.36,1925,odVYy1aUBHk8ko1ho5z6PA-DMlRU,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83er1y0MDzD5K7R85nzsfK2xCEiavyfk89JBK3mLK2gn7zKKXibBvYt1Ctckwzt5GgbJnGEp7zCOQBTcA/132,2020-04-03 15:25:40 +0800 CST
60,12💕,20.59,2428,odVYy1S04mX_mlHzF_rg4d5upzec,http://thirdwx.qlogo.cn/mmopen/vi_32/kj8E35IXibsQFs1AKrmGEQJN0mJflic8tS95FRxTG2bdX9gAlXeBFaKhaClfyVT5nngWOOLX72rtlvqQPt8ESHnw/132,2020-04-03 20:18:17 +0800 CST
61,光明,20.72,1059,odVYy1ez7YTvM-fKZ5BvqIskFPKU,http://thirdwx.qlogo.cn/mmopen/vi_32/DYAIOgq83ep1xDFTyJdibup6sJ2d4gibQXCiaGeBCvvco0qqEBAbJ7ARibDNGj3r99SqDHr8GPVOusianFHYEda3nEQ/132,2020-04-03 19:00:07 +0800 CST
66,小宇清风,22.64,1958,odVYy1RrwxEHO-R86mskxNRONeDQ,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIPIuoxkYibyb8Bjper6kUHpTsKocIibSyrKzN81YpoAzphM6HfjLbwFzlMaibahpNUGXqX65fxowAiaw/132,2020-04-03 09:26:38 +0800 CST
69,AA婵,24.31,2389,odVYy1XIDJBCkRkDPLze8bYdP7bc,http://thirdwx.qlogo.cn/mmopen/vi_32/T11bCSZUhGcED7bVP6vm4nX7qYicMr9PnW8kk72bYpuSuTb7TqRapI30WLP2ns6gWz9OQDiakLJsLMXfC40FPib8w/132,2020-04-03 11:42:02 +0800 CST
70,姑娘你会瘦！,24.31,1475,odVYy1Zcy9GyNbGrBs2CX7izV-1c,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLsIgn717B1Ate8mP5zauOX3VKQvPCqRL6SfOiaJVCHBHsnUWunWMurNwDuMGEwYWEtISeibcurk2vw/132,2020-04-03 21:07:58 +0800 CST
88,王贤,29.66,405,odVYy1ZTKJCZpFkACJsYMUNzfzHY,,2020-04-03 11:15:27 +0800 CST
104,陆云,36.37,53,odVYy1Zu1DCmfAqjdDc_JmRmtuiI,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTIdYEvEncYDI8y3tfhvXmmhEYTIveIdgrUIN3aw6mic1Gqw1uNPaNa2jAKAjUqYS45EicqtYkvwW4iaQ/132,2020-04-03 01:47:37 +0800 CST
